case,accel,converged,iterations,time_ms,final_mismatch
case9,1,True,159,28.8501,9.39773e-09
case9,1.2,True,122,23.6804,9.94163e-09
case9,1.4,True,95,17.0731,9.92879e-09
case9,1.6,True,74,16.3414,9.49841e-09
case9,1.8,True,67,12.302,9.30115e-09
case14,1,True,203,49.9661,9.8305e-09
case14,1.2,True,162,40.3456,9.75485e-09
case14,1.4,True,111,23.3884,9.67066e-09
case14,1.6,True,77,17.7072,8.4803e-09
case14,1.8,True,80,16.3793,7.91748e-09
case30,1,True,514,214.13,9.77243e-09
case30,1.2,True,396,163.947,9.90631e-09
case30,1.4,True,311,130.003,9.81528e-09
case30,1.6,True,247,105.812,9.54465e-09
case30,1.8,True,197,81.8224,9.38607e-09
case39,1,True,1652,998.022,9.98138e-09
case39,1.2,True,1174,736.409,9.95121e-09
case39,1.4,True,820,481.385,9.96103e-09
case39,1.6,False,8000,4799.55,0.000576296
case39,1.8,False,8000,4846.71,0.000766149
