case,load_scale,requested_pen_pct,actual_pen_pct,classical_converged,ibr_converged,n_limited,limited_buses,max_dvm_pu,rmse_vm_pu,vm_min_classical,vm_min_ibr
case14,1,0,0,True,True,0,,0,0,1.01,1.01
case14,1,20,20.8211,True,True,0,,0,0,1.01,1.01
case14,1,40,50.5656,True,True,0,,0,0,1.01,1.01
case14,1,60,65.4379,True,True,0,,0,0,1.01,1.01
case14,1,80,65.4379,True,True,0,,0,0,1.01,1.01
case14,1,100,100,True,True,0,,0,0,1.01,1.01
case14,1.1,0,0,True,True,0,,0,0,1.01,1.01
case14,1.1,20,20.8211,True,True,0,,0.00455577,0.00144952,1.01,1.01
case14,1.1,40,50.5656,True,True,0,,0.00455577,0.00144952,1.01,1.01
case14,1.1,60,65.4379,True,True,0,,0.00455577,0.00144952,1.01,1.01
case14,1.1,80,65.4379,True,True,0,,0.00455577,0.00144952,1.01,1.01
case14,1.1,100,100,True,True,0,,0.00455577,0.00144952,1.01,1.01
case14,1.2,0,0,True,True,0,,0,0,0.938252,0.938252
case14,1.2,20,20.8211,True,True,0,,0.0533426,0.0443406,0.938252,0.986547
case14,1.2,40,50.5656,True,True,0,,0.0909844,0.0732127,0.938252,1.01
case14,1.2,60,65.4379,True,True,0,,0.0909844,0.0732127,0.938252,1.01
case14,1.2,80,65.4379,True,True,0,,0.0909844,0.0732127,0.938252,1.01
case14,1.2,100,100,True,True,0,,0.0909844,0.0732127,0.938252,1.01
case14,1.3,0,0,True,True,0,,0,0,0.826565,0.826565
case14,1.3,20,20.8211,True,True,0,,0.143579,0.103388,0.826565,0.944126
case14,1.3,40,50.5656,True,True,0,,0.233807,0.165238,0.826565,1.00834
case14,1.3,60,65.4379,True,True,0,,0.233807,0.165238,0.826565,1.00834
case14,1.3,80,65.4379,True,True,0,,0.233807,0.165238,0.826565,1.00834
case14,1.3,100,100,True,True,0,,0.233807,0.165238,0.826565,1.00834
case14,1.4,0,0,True,True,0,,0,0,0.785118,0.785118
case14,1.4,20,20.8211,True,True,0,,0.0120917,0.010357,0.785118,0.79721
case14,1.4,40,50.5656,True,True,0,,0.231536,0.186936,0.785118,1.00201
case14,1.4,60,65.4379,True,True,0,,0.232557,0.19236,0.785118,1.00492
case14,1.4,80,65.4379,True,True,0,,0.232557,0.19236,0.785118,1.00492
case14,1.4,100,100,True,True,0,,0.232557,0.19236,0.785118,1.00492
case14,1.5,0,0,False,False,0,,nan,nan,nan,nan
