case,gen,bus,cap_mvar,case_qmax_mvar,abs_error,control_holds
case14,1,2,50,50,2.13163e-14,True
case14,2,3,40,40,7.10543e-15,True
case14,3,6,24,24,1.77636e-14,True
case14,4,8,24,24,1.77636e-14,True
case30,1,2,60,60,1.42109e-14,True
case30,2,22,62.5,62.5,0,True
case30,3,27,48.7,48.7,1.42109e-14,True
case30,4,23,40,40,0,True
case30,5,13,44.7,44.7,0,True
case39,1,30,400,400,1.7053e-13,True
case39,2,32,300,300,1.13687e-13,True
case39,3,33,250,250,1.42109e-13,True
case39,4,34,167,167,5.68434e-14,True
case39,5,35,300,300,1.13687e-13,True
case39,6,36,240,240,1.13687e-13,True
case39,7,37,250,250,1.42109e-13,True
case39,8,38,300,300,2.27374e-13,True
case39,9,39,300,300,5.11591e-13,True
