case,requested_pen_pct,actual_pen_pct,total_ibr_mw,min_scr,mean_scr,wscr,cscr,n_weak_buses
case14,0,0,0,inf,inf,inf,inf,0
case14,20,20.8211,40,44.4256,44.4256,44.4256,40.6818,0
case14,40,50.5656,40,35.8846,35.8846,35.8846,32.8606,0
case14,60,65.4379,40,32.9151,32.9151,32.9151,30.1413,0
case14,80,65.4379,40,32.9151,32.9151,32.9151,30.1413,0
case14,100,100,272.393,1.08886,3.76427,0.931412,0.832528,1
case30,0,0,0,inf,inf,inf,inf,0
case30,20,28.4724,60.97,20.8067,20.8067,20.8067,20.8067,0
case30,40,48.0472,87.88,10.5499,15.297,10.6372,6.91219,0
case30,60,65.8424,109.47,10.0076,16.9523,7.38293,5.04627,0
case30,80,80.0786,146.47,7.68125,13.9565,4.43202,2.97156,0
case30,100,100,191.644,3.19827,6.30309,0.930435,0.926157,0
case39,0,0,0,inf,inf,inf,inf,0
case39,20,28.9233,1250,2.84906,7.62322,2.31929,2.19251,1
case39,40,40.6143,2080,1.79507,5.56003,1.11519,0.956978,2
case39,60,68.5105,4012,1.78156,4.87428,0.626542,0.569171,2
case39,80,83.9723,5112,1.7583,4.27361,0.450333,0.408148,2
case39,100,100,6297.87,1.94033,4.41789,0.380888,0.354232,1
