case,pen_pct,bus,fault_type,if_classical_pu,if_ibr_pu,error_pct,angle_classical_deg,angle_ibr_deg,angle_shift_deg,i2_over_i1_classical,i2_over_i1_ibr,iterations,converged,well_posed,note
case14,20.8211,4,3LG,13.5582,12.685,-6.4402,-85.4447,-86.8112,-1.36656,0,0,4,True,True,
case14,20.8211,4,SLG,8.08361,7.86386,-2.71843,-84.2471,-85.2556,-1.00844,1,1,3,True,True,
case14,20.8211,4,LL,11.7417,11.3666,-3.19435,-175.445,-175.027,0.417496,1,1,4,True,True,
case14,20.8211,4,LLG,12.1724,11.7063,-3.8292,170.881,18.2035,-152.678,0.752096,0.756533,4,True,True,
case14,20.8211,5,3LG,13.7283,12.8725,-6.23392,-85.5668,32.874,118.441,0,0,4,True,True,
case14,20.8211,5,SLG,8.00477,7.80007,-2.55727,-83.8686,-85.0927,-1.22405,1,1,3,True,True,
case14,20.8211,5,LL,11.8891,11.5288,-3.03081,-175.567,-175.344,0.222551,1,1,4,True,True,
case14,20.8211,5,LLG,12.3343,11.8239,-4.13784,171.209,17.5341,-153.675,0.758996,0.763129,4,True,True,
case14,20.8211,9,3LG,6.95231,6.71617,-3.39661,-92.6703,-93.7289,-1.05857,0,0,4,True,True,
case14,20.8211,9,SLG,2.08733,2.03539,-2.48823,-79.6682,-80.8085,-1.14024,1,1,3,True,True,
case14,20.8211,9,LL,6.02088,5.87159,-2.47954,177.33,176.551,-0.778494,1,1,3,True,True,
case14,20.8211,9,LLG,6.20973,6.04458,-2.65944,171.885,171.11,-0.774577,0.893068,0.893631,3,True,True,
case14,20.8211,14,3LG,3.74597,3.6422,-2.77028,-83.8479,-84.9144,-1.06647,0,0,3,True,True,
case14,20.8211,14,SLG,1.89102,1.84587,-2.38767,-80.8873,-81.9627,-1.07541,1,1,3,True,True,
case14,20.8211,14,LL,3.24411,3.16562,-2.41939,-173.848,-174.78,-0.931883,1,1,3,True,True,
case14,20.8211,14,LLG,3.34765,3.26174,-2.56632,175.296,174.363,-0.933889,0.798239,0.798668,3,True,True,
case14,50.5656,4,3LG,9.98402,6.9461,-30.4278,-80.0932,-79.2918,0.801425,0,0,6,True,True,
case14,50.5656,4,SLG,5.57654,4.85138,-13.0038,-82.8812,-79.8412,3.04005,1,1,5,True,True,
case14,50.5656,4,LL,8.64641,7.40316,-14.3789,-170.093,-160.144,9.94903,1,1,7,True,True,
case14,50.5656,4,LLG,8.98621,7.63277,-15.0614,22.3007,28.0365,5.73586,0.771829,0.83163,7,True,True,
case14,50.5656,5,3LG,10.2307,7.27999,-28.8414,-79.6898,-79.4306,0.259258,0,0,200,False,True,
