case,bus,fault_type,k2,if_pu,error_vs_classical_pct,i2_magnitude_pu,i2_over_i1,converged,well_posed
case14,4,SLG,0,2.69756,-48.0643,0.899187,1,True,True
case14,4,SLG,2,2.91324,-43.9118,0.971081,1,True,True
case14,4,SLG,4,2.98568,-42.5173,0.995225,1,True,True
case14,4,SLG,6,3.01571,-41.939,1.00524,1,True,True
case14,4,LL,0,3.95247,-44.8326,2.28196,1,False,True
case14,4,LL,2,4.37842,-38.8872,2.52788,1,False,True
case14,4,LL,4,5.24546,-26.7854,3.02847,1,False,True
case14,4,LL,6,5.42381,-24.296,3.13144,1,False,True
case14,4,LLG,0,4.19684,-45.3255,1.92239,0.738826,False,True
case14,4,LLG,2,5.08215,-33.792,2.44611,0.815736,False,True
case14,4,LLG,4,5.42227,-29.3611,2.70357,0.84343,False,True
case14,4,LLG,6,5.56538,-27.4966,2.82417,0.855212,False,True
case14,5,SLG,0,5.64174,0.529291,1.88058,1,False,True
case14,5,SLG,2,5.52301,-1.58631,1.841,1,False,True
case14,5,SLG,4,3.41355,-39.1746,1.13785,1,True,True
case14,5,SLG,6,3.44799,-38.5608,1.14933,1,True,True
case14,5,LL,0,4.30639,-43.5768,2.4863,1,False,True
case14,5,LL,2,5.26686,-30.9925,3.04082,1,False,True
case14,5,LL,4,5.76553,-24.4589,3.32873,1,False,True
case14,5,LL,6,5.72818,-24.9482,3.30717,1,False,True
case14,5,LLG,0,4.64067,-43.0379,2.12377,0.733022,False,True
case14,5,LLG,2,5.59867,-31.2788,2.68369,0.80448,False,True
case14,5,LLG,4,5.87613,-27.8731,2.91333,0.831068,False,True
case14,5,LLG,6,5.99722,-26.3868,3.02538,0.842815,False,True
case14,9,SLG,0,0.59722,-9.79865,0.199073,1,False,True
case14,9,SLG,2,0.577391,-12.7936,0.192464,1,False,True
case14,9,SLG,4,0.583143,-11.9248,0.194381,1,False,True
case14,9,SLG,6,0.582387,-12.039,0.194129,1,False,True
case14,9,LL,0,1.22092,-65.6649,0.7049,1,True,True
case14,9,LL,2,1.45333,-59.1291,0.839081,1,True,True
case14,9,LL,4,1.63532,-54.0112,0.944152,1,False,True
case14,9,LL,6,1.80348,-49.2822,1.04124,1,False,True
case14,9,LLG,0,1.24608,-65.5182,0.724474,1.04782,True,True
case14,9,LLG,2,1.48761,-58.8347,0.856415,1.02806,True,True
case14,9,LLG,4,1.61307,-55.3629,0.930454,1.0234,False,True
case14,9,LLG,6,1.87403,-48.1415,1.08276,1.02208,False,True
case14,14,SLG,0,0.652733,-16.4671,0.217578,1,False,True
case14,14,SLG,2,0.276559,-64.6076,0.0921864,1,True,True
case14,14,SLG,4,0.678319,-13.1927,0.226106,1,False,True
case14,14,SLG,6,0.673594,-13.7973,0.224531,1,False,True
case14,14,LL,0,0.778446,-66.015,0.449436,1,True,True
case14,14,LL,2,0.87207,-61.9276,0.50349,1,True,True
case14,14,LL,4,0.914295,-60.0842,0.527869,1,True,True
case14,14,LL,6,0.933598,-59.2414,0.539013,1,True,True
case14,14,LLG,0,0.811982,-65.9089,0.468045,1.07883,True,True
case14,14,LLG,2,0.912597,-61.6846,0.520962,1.05486,True,True
case14,14,LLG,4,0.952506,-60.0091,0.544871,1.04907,True,True
case14,14,LLG,6,0.970003,-59.2744,0.555808,1.04701,True,True
case39,16,SLG,0,1.2187,-24.0995,0.406232,1,True,True
case39,16,SLG,2,1.21918,-24.0696,0.406392,1,True,True
case39,16,SLG,4,1.21965,-24.0404,0.406549,1,True,True
case39,16,SLG,6,1.22007,-24.0138,0.406691,1,True,True
case39,16,LL,0,37.8736,-29.3404,21.8663,1,True,True
case39,16,LL,2,38.7391,-27.7256,22.3661,1,True,True
case39,16,LL,4,39.6555,-26.016,22.8951,1,True,True
case39,16,LL,6,40.258,-24.8919,23.243,1,True,True
case39,16,LLG,0,37.9292,-29.3794,21.762,0.991586,True,True
case39,16,LLG,2,38.7821,-27.7913,22.2637,0.991979,True,True
case39,16,LLG,4,39.7002,-26.082,22.8006,0.992363,True,True
case39,16,LLG,6,40.3039,-24.9579,23.1515,0.992611,True,True
case39,21,SLG,0,1.57068,-24.3655,0.523559,1,True,True
case39,21,SLG,2,1.57136,-24.3326,0.523786,1,True,True
case39,21,SLG,4,1.57207,-24.2985,0.524023,1,True,True
case39,21,SLG,6,1.57275,-24.2657,0.524249,1,True,True
case39,21,LL,0,27.5584,-28.0537,15.9108,1,True,True
case39,21,LL,2,28.0999,-26.6401,16.2235,1,True,True
case39,21,LL,4,28.614,-25.2979,16.5203,1,True,True
case39,21,LL,6,28.895,-24.5642,16.6826,1,True,True
case39,21,LLG,0,27.6893,-28.0864,15.7855,0.985244,True,True
case39,21,LLG,2,28.2129,-26.7265,16.097,0.985674,True,True
case39,21,LLG,4,28.7111,-25.4326,16.3921,0.986122,True,True
case39,21,LLG,6,28.9848,-24.7217,16.5526,0.986431,True,True
case39,24,SLG,0,1.34997,-24.0119,0.449991,1,True,True
case39,24,SLG,2,1.35055,-23.9794,0.450183,1,True,True
case39,24,SLG,4,1.35111,-23.9477,0.45037,1,True,True
case39,24,SLG,6,1.35163,-23.9188,0.450542,1,True,True
case39,24,LL,0,31.4466,-27.9645,18.1557,1,True,True
case39,24,LL,2,32.147,-26.3603,18.5601,1,True,True
case39,24,LL,4,32.7969,-24.8714,18.9353,1,True,True
case39,24,LL,6,33.2941,-23.7325,19.2224,1,True,True
case39,24,LLG,0,31.5439,-27.99,18.047,0.98878,True,True
case39,24,LLG,2,32.2305,-26.4226,18.4509,0.989206,True,True
case39,24,LLG,4,32.8704,-24.9619,18.8262,0.989622,True,True
case39,24,LLG,6,33.3651,-23.8326,19.1152,0.989958,True,True
case39,39,SLG,0,0.548519,-31.9694,0.18284,1,True,True
case39,39,SLG,2,0.548795,-31.9351,0.182932,1,True,True
case39,39,SLG,4,0.549062,-31.9021,0.183021,1,True,True
case39,39,SLG,6,0.549309,-31.8715,0.183103,1,True,True
case39,39,LL,0,14.8204,-37.0136,8.55656,1,True,True
case39,39,LL,2,15.2938,-35.0016,8.82988,1,True,True
case39,39,LL,4,15.7378,-33.1147,9.08621,1,True,True
case39,39,LL,6,15.8212,-32.7604,9.13435,1,True,True
case39,39,LLG,0,14.8431,-37.0171,8.51383,0.990171,True,True
case39,39,LLG,2,15.3066,-35.0505,8.7869,0.990674,True,True
case39,39,LLG,4,15.7459,-33.1866,9.04508,0.991148,True,True
case39,39,LLG,6,15.8293,-32.8324,9.09325,0.991255,True,True
