case,pen_pct,k2,ieee2800,branch,fault_bus,fault_type,zone_classical,zone_ibr,direc_classical,direc_ibr,i2_classical,i2_ibr,t_oc_classical,t_oc_ibr,n_misoperations,flag_zone_changed,flag_lost_distance_trip,flag_zone1_reach_lost,flag_directional_lost,flag_directional_reversed,flag_lost_oc_pickup,flag_slower_oc
case14,50.6,0,no,2-4,4,3LG,2,2,no_decision,no_decision,0,0,2.75065,inf,1,False,False,False,False,False,True,False
case14,50.6,4,yes,2-4,4,3LG,2,2,no_decision,no_decision,0,0,2.75065,inf,1,False,False,False,False,False,True,False
case14,50.6,0,no,2-4,4,SLG,2,2,forward,forward,0.447834,0.369414,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,2-4,4,SLG,2,2,forward,forward,0.447834,0.341457,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,2-4,4,LL,2,2,forward,forward,1.20268,0.873389,3.25051,172.996,1,False,False,False,False,False,False,True
case14,50.6,4,yes,2-4,4,LL,2,2,forward,forward,1.20268,0.902503,3.25051,8.5613,1,False,False,False,False,False,False,True
case14,50.6,0,no,2-4,4,LLG,2,2,forward,forward,1.04784,0.756275,3.49781,inf,1,False,False,False,False,False,True,False
case14,50.6,4,yes,2-4,4,LLG,2,2,forward,forward,1.04784,0.799935,3.49781,16.7871,1,False,False,False,False,False,False,True
case14,50.6,0,no,3-4,4,3LG,2,2,no_decision,no_decision,0,0,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,3-4,4,3LG,2,2,no_decision,no_decision,0,0,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,3-4,4,SLG,2,2,forward,forward,0.254288,0.20976,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,3-4,4,SLG,2,2,forward,forward,0.254288,0.325861,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,3-4,4,LL,2,2,forward,forward,0.682901,0.495925,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,3-4,4,LL,2,2,forward,forward,0.682901,0.861281,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,3-4,4,LLG,2,2,forward,forward,0.594982,0.429426,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,3-4,4,LLG,2,2,forward,forward,0.594982,0.763398,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,4-5,4,3LG,1,1,no_decision,no_decision,0,0,0.915879,1.46232,1,False,False,False,False,False,False,True
case14,50.6,4,yes,4-5,4,3LG,1,1,no_decision,no_decision,0,0,0.915879,1.46232,1,False,False,False,False,False,False,True
case14,50.6,0,no,4-5,4,SLG,1,1,reverse,reverse,0.781129,0.644345,2.54135,4.6911,1,False,False,False,False,False,False,True
case14,50.6,4,yes,4-5,4,SLG,1,1,reverse,reverse,0.781129,0.658695,2.54135,3.63741,1,False,False,False,False,False,False,True
case14,50.6,0,no,4-5,4,LL,1,1,reverse,reverse,2.09775,1.5234,1.00176,1.57684,1,False,False,False,False,False,False,True
case14,50.6,4,yes,4-5,4,LL,1,1,reverse,reverse,2.09775,1.74099,1.00176,1.19441,0,False,False,False,False,False,False,False
case14,50.6,0,no,4-5,4,LLG,1,1,reverse,reverse,1.82768,1.31912,1.02056,1.61501,1,False,False,False,False,False,False,True
case14,50.6,4,yes,4-5,4,LLG,1,1,reverse,reverse,1.82768,1.54313,1.02056,1.32207,1,False,False,False,False,False,False,True
case14,50.6,0,no,4-7,4,3LG,1,1,no_decision,no_decision,0,0,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,4-7,4,3LG,1,1,no_decision,no_decision,0,0,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,4-7,4,SLG,1,1,reverse,reverse,0.252486,0.208273,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,4-7,4,SLG,1,1,reverse,reverse,0.252486,0.191445,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,4-7,4,LL,1,1,reverse,reverse,0.678061,0.492411,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,4-7,4,LL,1,1,reverse,reverse,0.678061,0.506007,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,4-7,4,LLG,1,1,reverse,reverse,0.590766,0.426383,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,4-7,4,LLG,1,1,reverse,reverse,0.590766,0.4485,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,4-9,4,3LG,1,1,no_decision,no_decision,0,0,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,4-9,4,3LG,1,1,no_decision,no_decision,0,0,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,4-9,4,SLG,1,1,reverse,reverse,0.0782742,0.0645676,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,4-9,4,SLG,1,1,reverse,reverse,0.0782742,0.0762242,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,4-9,4,LL,1,1,reverse,reverse,0.210209,0.152654,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,4-9,4,LL,1,1,reverse,reverse,0.210209,0.201468,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,4-9,4,LLG,1,1,reverse,reverse,0.183146,0.132185,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,4-9,4,LLG,1,1,reverse,reverse,0.183146,0.178571,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,1-5,5,SLG,2,2,forward,forward,0.613187,0.506064,6.58248,5.21012,0,False,False,False,False,False,False,False
case14,50.6,4,yes,1-5,5,SLG,2,2,forward,forward,0.613187,0.391132,6.58248,5.97634,0,False,False,False,False,False,False,False
case14,50.6,0,no,1-5,5,LL,2,2,forward,forward,1.58172,1.16461,1.45827,1.91097,1,False,False,False,False,False,False,True
case14,50.6,4,yes,1-5,5,LL,2,2,forward,forward,1.58172,1.00633,1.45827,1.72056,0,False,False,False,False,False,False,False
case14,50.6,0,no,1-5,5,LLG,2,2,forward,forward,1.36612,0.999598,1.49787,1.76227,0,False,False,False,False,False,False,False
case14,50.6,4,yes,1-5,5,LLG,2,2,forward,forward,1.36612,0.885505,1.49787,1.6817,0,False,False,False,False,False,False,False
case14,50.6,0,no,2-5,5,SLG,2,2,forward,forward,0.474575,0.391667,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,2-5,5,SLG,2,2,forward,forward,0.474575,0.360317,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,2-5,5,LL,2,2,forward,forward,1.22417,0.901345,3.56336,inf,1,False,False,False,False,False,True,False
case14,50.6,4,yes,2-5,5,LL,2,2,forward,forward,1.22417,0.927047,3.56336,13.3688,1,False,False,False,False,False,False,True
case14,50.6,0,no,2-5,5,LLG,2,2,forward,forward,1.05731,0.773637,3.62521,inf,1,False,False,False,False,False,True,False
case14,50.6,4,yes,2-5,5,LLG,2,2,forward,forward,1.05731,0.815743,3.62521,21.2904,1,False,False,False,False,False,False,True
case14,50.6,0,no,4-5,5,SLG,2,2,forward,forward,0.73495,0.606555,13.4408,inf,1,False,False,False,False,False,True,False
case14,50.6,4,yes,4-5,5,SLG,2,2,forward,forward,0.73495,0.651711,13.4408,inf,1,False,False,False,False,False,True,False
case14,50.6,0,no,4-5,5,LL,2,2,forward,forward,1.89581,1.39587,1.21638,3.56461,1,False,False,False,False,False,False,True
case14,50.6,4,yes,4-5,5,LL,2,2,forward,forward,1.89581,1.67676,1.21638,1.98527,1,False,False,False,False,False,False,True
case14,50.6,0,no,4-5,5,LLG,2,2,forward,forward,1.63739,1.19809,1.2097,3.84871,1,False,False,False,False,False,False,True
case14,50.6,4,yes,4-5,5,LLG,2,2,forward,forward,1.63739,1.47545,1.2097,1.99088,1,False,False,False,False,False,False,True
case14,50.6,0,no,5-6,5,SLG,1,1,reverse,reverse,0.111536,0.0920504,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,5-6,5,SLG,1,1,reverse,reverse,0.111536,0.296886,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,5-6,5,LL,1,1,reverse,reverse,0.287706,0.211836,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,5-6,5,LL,1,1,reverse,reverse,0.287706,0.763846,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,5-6,5,LLG,1,1,reverse,reverse,0.24849,0.181822,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,5-6,5,LLG,1,1,reverse,reverse,0.24849,0.672136,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,9-10,9,3LG,1,1,no_decision,no_decision,0,0,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,9-10,9,3LG,1,1,no_decision,no_decision,0,0,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,9-10,9,SLG,1,1,no_decision,no_decision,0.031667,0.0297704,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,9-10,9,SLG,1,1,no_decision,no_decision,0.031667,0.0407984,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,9-10,9,LL,1,1,reverse,reverse,0.407694,0.303496,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,9-10,9,LL,1,1,reverse,reverse,0.407694,0.46373,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,9-10,9,LLG,1,1,reverse,reverse,0.414958,0.30918,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,9-10,9,LLG,1,1,reverse,reverse,0.414958,0.471265,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,9-14,9,3LG,1,1,no_decision,no_decision,0,0,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,9-14,9,3LG,1,1,no_decision,no_decision,0,0,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,9-14,9,SLG,1,1,no_decision,no_decision,0.0215082,0.02022,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,9-14,9,SLG,1,1,no_decision,no_decision,0.0215082,0.027216,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,9-14,9,LL,1,1,reverse,reverse,0.276905,0.206134,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,9-14,9,LL,1,1,reverse,reverse,0.276905,0.309348,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,9-14,9,LLG,1,1,reverse,reverse,0.281838,0.209994,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,9-14,9,LLG,1,1,reverse,reverse,0.281838,0.314375,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,4-9,9,3LG,2,2,no_decision,no_decision,0,0,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,4-9,9,3LG,2,2,no_decision,no_decision,0,0,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,4-9,9,SLG,2,2,no_decision,no_decision,0.0437557,0.0411351,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,4-9,9,SLG,2,2,no_decision,no_decision,0.0437557,0.0393633,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,4-9,9,LL,2,2,forward,forward,0.563329,0.419354,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,4-9,9,LL,2,2,forward,forward,0.563329,0.447418,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,4-9,9,LLG,2,2,forward,forward,0.573366,0.427208,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,4-9,9,LLG,2,2,forward,forward,0.573366,0.454688,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,7-9,9,3LG,2,2,no_decision,no_decision,0,0,1.4441,2.14261,1,False,False,False,False,False,False,True
case14,50.6,4,yes,7-9,9,3LG,2,2,no_decision,no_decision,0,0,1.4441,2.14261,1,False,False,False,False,False,False,True
case14,50.6,0,no,7-9,9,SLG,2,2,forward,forward,0.122794,0.115439,1.09461,1.20577,0,False,False,False,False,False,False,False
case14,50.6,4,yes,7-9,9,SLG,2,2,forward,forward,0.122794,0.101678,1.09461,1.23221,0,False,False,False,False,False,False,False
case14,50.6,0,no,7-9,9,LL,2,2,forward,forward,1.58089,1.17685,1.82006,2.74586,1,False,False,False,False,False,False,True
case14,50.6,4,yes,7-9,9,LL,2,2,forward,forward,1.58089,1.15571,1.82006,2.25502,1,False,False,False,False,False,False,True
case14,50.6,0,no,7-9,9,LLG,2,2,forward,forward,1.60906,1.19889,1.34857,1.80483,1,False,False,False,False,False,False,True
case14,50.6,4,yes,7-9,9,LLG,2,2,forward,forward,1.60906,1.17449,1.34857,1.6979,1,False,False,False,False,False,False,True
case14,50.6,0,no,9-14,14,3LG,2,2,no_decision,no_decision,0,0,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,9-14,14,3LG,2,2,no_decision,no_decision,0,0,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,9-14,14,SLG,2,2,forward,forward,0.15521,0.145149,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,9-14,14,SLG,2,2,forward,forward,0.15521,0.133861,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,9-14,14,LL,2,2,forward,forward,0.924288,0.703268,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,9-14,14,LL,2,2,forward,forward,0.924288,0.708829,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,9-14,14,LLG,2,2,forward,forward,0.95552,0.731876,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,9-14,14,LLG,2,2,forward,forward,0.95552,0.73358,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,13-14,14,3LG,2,2,no_decision,no_decision,0,0,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,13-14,14,3LG,2,2,no_decision,no_decision,0,0,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,13-14,14,SLG,2,2,forward,forward,0.0926253,0.0866212,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,13-14,14,SLG,2,2,forward,forward,0.0926253,0.0952382,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,13-14,14,LL,2,2,forward,forward,0.551592,0.419693,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,13-14,14,LL,2,2,forward,forward,0.551592,0.504311,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,0,no,13-14,14,LLG,2,2,forward,forward,0.570231,0.436765,inf,inf,0,False,False,False,False,False,False,False
case14,50.6,4,yes,13-14,14,LLG,2,2,forward,forward,0.570231,0.52192,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,2-4,4,SLG,2,2,forward,forward,0.499884,0.259618,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,4,yes,2-4,4,SLG,2,2,forward,forward,0.499884,0.196421,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,3-4,4,SLG,2,2,forward,forward,0.284433,0.147722,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,4,yes,3-4,4,SLG,2,2,forward,forward,0.284433,0.187134,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,4-5,4,SLG,1,1,reverse,reverse,0.827466,0.42975,2.49032,8.77432,1,False,False,False,False,False,False,True
case14,65.4,4,yes,4-5,4,SLG,1,1,reverse,reverse,0.827466,0.385873,2.49032,6.73775,1,False,False,False,False,False,False,True
case14,65.4,0,no,4-7,4,SLG,1,1,reverse,no_decision,0.0626702,0.0325482,inf,inf,1,False,False,False,True,False,False,False
case14,65.4,4,yes,4-7,4,SLG,1,1,reverse,reverse,0.0626702,0.149392,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,4-9,4,SLG,1,1,no_decision,no_decision,0.0373436,0.0193947,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,4,yes,4-9,4,SLG,1,1,no_decision,reverse,0.0373436,0.0570135,inf,inf,0,False,False,False,False,False,False,False
