case,pen_pct,gfm_share_pct,min_scr,wscr,cscr,n_weak_buses
case14,65.4,0,32.9151,32.9151,30.1413,0
case14,65.4,25,72.6627,72.6627,66.5394,0
case14,65.4,50,82.9347,82.9347,75.9458,0
case14,65.4,75,87.2865,87.2865,79.9308,0
case14,65.4,100,88.838,88.838,81.3516,0
case14,65.4,0,32.9151,32.9151,30.1413,0
case14,65.4,25,72.6627,72.6627,66.5394,0
case14,65.4,50,82.9347,82.9347,75.9458,0
case14,65.4,75,87.2865,87.2865,79.9308,0
case14,65.4,100,88.838,88.838,81.3516,0
case14,100,0,1.08886,0.931412,0.832528,1
case14,100,25,11.6568,9.16318,7.65271,0
case14,100,50,15.3522,12.7101,11.3,0
case14,100,75,16.4648,13.8384,12.3554,0
case14,100,100,16.5902,13.9636,12.4698,0
case39,68.5,0,1.78156,0.626542,0.569171,2
case39,68.5,25,1.84142,1.56904,0.733955,1
case39,68.5,50,4.12797,2.06717,1.14891,0
case39,68.5,75,4.6292,2.7174,1.96877,0
case39,68.5,100,13.3985,2.99431,2.80682,0
case39,84,0,1.7583,0.450333,0.408148,2
case39,84,25,1.80139,1.03366,0.49568,1
case39,84,50,3.28272,1.53575,0.758349,0
case39,84,75,4.29343,1.93045,1.19422,0
case39,84,100,13.415,2.24317,2.06582,0
case39,100,0,1.94033,0.380888,0.354232,1
case39,100,25,1.82136,0.723465,0.37114,1
case39,100,50,3.2017,1.05555,0.512481,0
case39,100,75,4.27508,1.44367,0.876538,0
case39,100,100,13.2643,1.73172,1.60445,0
