case,pen_pct,gfm_share_pct,voltage_source_buses,n_gfm_buses,n_gfl_buses,well_posed_pct,converged_pct,mean_fault_current_pu
case14,65.4,0,1,0,4,100,31.25,1.82504
case14,65.4,25,2,1,3,100,62.5,2.93303
case14,65.4,50,3,2,2,100,81.25,5.10032
case14,65.4,75,4,3,1,100,93.75,7.09912
case14,65.4,100,5,4,0,100,100,8.62445
case14,65.4,0,1,0,4,100,31.25,1.82504
case14,65.4,25,2,1,3,100,62.5,2.93303
case14,65.4,50,3,2,2,100,81.25,5.10032
case14,65.4,75,4,3,1,100,93.75,7.09912
case14,65.4,100,5,4,0,100,100,8.62445
case14,100,0,0,0,5,0,0,nan
case14,100,25,1,1,4,100,18.75,0.839197
case14,100,50,2,2,3,100,68.75,2.57772
case14,100,75,4,4,1,100,93.75,6.10712
case14,100,100,5,5,0,100,100,7.63385
case39,68.5,0,4,0,6,100,100,22.6538
case39,68.5,25,6,2,4,100,100,44.701
case39,68.5,50,7,3,3,100,100,46.3326
case39,68.5,75,9,5,1,100,100,55.3964
case39,68.5,100,10,6,0,100,100,59.6135
case39,84,0,2,0,8,100,93.75,15.4254
case39,84,25,4,2,6,100,93.75,44.9915
case39,84,50,6,4,4,100,93.75,48.7773
case39,84,75,8,6,2,100,100,63.1104
case39,84,100,10,8,0,100,100,67.5836
case39,100,0,0,0,10,0,0,nan
case39,100,25,2,2,8,100,93.75,34.5276
case39,100,50,4,4,6,100,93.75,42.5376
case39,100,75,7,7,3,100,100,61.0341
case39,100,100,10,10,0,100,100,67.4518
