case,requested_pen_pct,actual_pen_pct,lambda_max,loading_margin_pct,critical_bus,n_points,converged
case14,0,0,1.67539,67.5391,14,16,True
case14,20,20.8211,1.75527,75.5273,14,22,True
case14,40,50.5656,1.85918,85.918,14,23,True
case14,60,65.4379,1.89355,89.3555,14,25,True
case14,80,65.4379,1.89355,89.3555,14,25,True
case14,100,100,1.89355,89.3555,14,25,True
case30,0,0,2.07793,107.793,8,27,True
case30,20,28.4724,2.1832,118.32,8,28,True
case30,40,48.0472,2.1832,118.32,8,28,True
case30,60,65.8424,2.37598,137.598,8,31,True
case30,80,80.0786,2.37812,137.812,8,30,True
case30,100,100,2.4916,149.16,8,35,True
case39,0,0,1.17578,17.5781,32,6,True
case39,20,28.9233,1.17578,17.5781,32,6,True
case39,40,40.6143,1.17578,17.5781,32,6,True
case39,60,68.5105,1.30723,30.7227,20,10,True
case39,80,83.9723,1.30703,30.7031,20,9,True
case39,100,100,1.30703,30.7031,20,9,True
