case,load_scale,pen_pct,max_l_index,mean_l_index,worst_bus,vm_min_pu
case14,1,0,0.0767519,0.0275639,14,1.01
case14,1,20.8211,0.0767519,0.0275639,14,1.01
case14,1,50.5656,0.0767519,0.0275639,14,1.01
case14,1,65.4379,0.0767519,0.0275639,14,1.01
case14,1,65.4379,0.0767519,0.0275639,14,1.01
case14,1,100,0.0767519,0.0275639,14,1.01
case14,1.2,0,0.111258,0.0392454,14,0.938252
case14,1.2,20.8211,0.100375,0.0356432,14,0.986547
case14,1.2,50.5656,0.0939129,0.0335649,14,1.01
case14,1.2,65.4379,0.0939129,0.0335649,14,1.01
case14,1.2,65.4379,0.0939129,0.0335649,14,1.01
case14,1.2,100,0.0939129,0.0335649,14,1.01
case14,1.4,0,0.182481,0.0622936,14,0.785118
case14,1.4,20.8211,0.180121,0.0615516,14,0.790442
case14,1.4,50.5656,0.113169,0.0402423,14,1.00201
case14,1.4,65.4379,0.111848,0.0397773,14,1.00492
case14,1.4,65.4379,0.111848,0.0397773,14,1.00492
case14,1.4,100,0.111848,0.0397773,14,1.00492
case30,1,0,0.0552859,0.0280265,8,0.960624
case30,1,28.4724,0.0552859,0.0280265,8,0.960624
case30,1,48.0472,0.0552859,0.0280265,8,0.960624
case30,1,65.8424,0.0552859,0.0280265,8,0.960624
case30,1,80.0786,0.0552859,0.0280265,8,0.960624
case30,1,100,0.0552859,0.0280265,8,0.960624
case30,1.2,0,0.0678984,0.0341193,8,0.948677
case30,1.2,28.4724,0.0678984,0.0341193,8,0.948677
case30,1.2,48.0472,0.0678984,0.0341193,8,0.948677
case30,1.2,65.8424,0.0678984,0.0341193,8,0.948677
case30,1.2,80.0786,0.0678984,0.0341193,8,0.948677
case30,1.2,100,0.0678984,0.0341193,8,0.948677
case30,1.4,0,0.0845291,0.0417519,8,0.917319
case30,1.4,28.4724,0.0812333,0.0404263,8,0.935863
case30,1.4,48.0472,0.0812333,0.0404263,8,0.935863
case30,1.4,65.8424,0.0812333,0.0404263,8,0.935863
case30,1.4,80.0786,0.0812333,0.0404263,8,0.935863
case30,1.4,100,0.0812333,0.0404263,8,0.935863
case39,1,0,0.200984,0.106635,15,0.982
case39,1,28.9233,0.200984,0.106635,15,0.982
case39,1,40.6143,0.200984,0.106635,15,0.982
case39,1,68.5105,0.200984,0.106635,15,0.982
case39,1,83.9723,0.201,0.106644,15,0.982
case39,1,100,0.201,0.106644,15,0.982
