case,outaged_branch,max_flow_error_mw,rmse_flow_mw,max_actual_flow_mw
case14,1-5,12.2208,2.81494,244.614
case14,2-3,16.1553,4.8358,157.832
case14,4-5,3.19296,1.07316,177.927
case14,3-4,1.84794,0.518024,162.509
case14,6-13,0.693613,0.281483,157.757
case14,6-11,0.170346,0.0733121,157.314
case14,13-14,0.150525,0.0715875,157.176
case14,6-12,0.165326,0.0714238,157.078
case14,10-11,0.0750586,0.0412323,157.077
case14,12-13,0.028221,0.00917817,156.896
case14,9-14,0.50041,0.190741,156.866
case14,9-10,0.20007,0.0708461,156.731
case14,4-9,0.22628,0.102145,156.598
case14,4-7,0.61962,0.253982,156.46
case14,7-9,1.18552,0.431575,156.27
case14,2-4,2.26766,0.69209,142.421
case14,2-5,0.747962,0.270145,142.121
case30,10-20,0.24145,0.0782847,37
case30,6-8,1.90152,0.421626,37
case30,15-18,0.300657,0.120073,37
case30,27-29,0.372688,0.105115,37
case30,19-20,0.173708,0.0530279,37
case30,21-22,0.946725,0.370905,37
case30,15-23,0.36946,0.12352,37
case30,4-6,0.665375,0.196061,37
case30,28-27,0.417301,0.148111,37
case30,10-22,0.205642,0.0947353,37
case30,23-24,0.308023,0.129316,37
case30,6-7,0.43051,0.0870621,37
case30,27-30,0.495705,0.139965,37
case30,10-17,0.27639,0.110702,37
case30,2-6,0.21346,0.0652885,37
case30,25-27,0.0654769,0.0294034,37
case30,8-28,0.089798,0.0344547,37
case30,12-15,0.546987,0.189776,37
case30,9-10,0.216144,0.065435,37
case30,6-9,0.216144,0.065435,37
case30,6-10,0.130359,0.0419515,37
case30,12-14,0.0982349,0.0344481,37
case30,12-16,0.404123,0.167467,37
case30,16-17,0.350949,0.134647,37
case30,29-30,0.204594,0.0453488,37
case30,1-2,0.132334,0.0279193,37
case30,14-15,0.0161002,0.00478671,37
case30,18-19,0.210631,0.0806518,37
case30,10-21,0.343536,0.152515,37
case30,4-12,0.042464,0.0140925,37
case30,3-4,0.407737,0.0735639,37
case30,1-3,0.387104,0.0696469,37
case30,22-24,0.0863105,0.0283961,37
case30,2-4,0.123513,0.0392618,37
case30,2-5,0.246401,0.06365,37
case30,5-7,0.247094,0.0749059,37
case30,24-25,0.0772519,0.0330164,37
case30,6-28,0.0618191,0.0249368,37
case39,3-4,1.08112,0.525113,824.769
case39,2-3,3.95316,1.22779,824.769
case39,21-22,19.5844,5.94385,958.474
case39,26-27,15.2628,4.28581,824.757
case39,6-11,6.75659,1.8371,824.765
case39,13-14,3.76697,1.11843,824.765
case39,23-24,7.51501,2.02295,953.488
case39,10-13,2.69318,0.83895,824.765
case39,2-25,4.30907,1.06155,824.751
case39,16-24,0.568732,0.208335,824.763
case39,16-21,5.62502,1.80264,824.763
case39,10-11,3.28377,1.24804,824.765
case39,4-14,3.25314,1.23313,824.765
case39,15-16,7.33588,2.01417,824.767
case39,8-9,1.36212,0.477083,824.764
case39,1-2,2.36416,0.706886,824.764
case39,5-6,4.53902,1.34057,824.765
case39,26-29,4.42905,1.39698,824.668
case39,28-29,13.5536,4.29897,824.665
case39,5-8,2.52262,1.06867,824.766
case39,6-7,4.96965,1.42445,960.592
case39,17-18,4.70004,1.47899,824.768
case39,16-17,2.20687,0.779783,824.766
case39,4-5,2.0833,0.812892,824.765
case39,1-39,0.911479,0.222925,824.766
case39,25-26,2.54177,0.787612,824.754
case39,17-27,0.59029,0.192498,824.766
case39,26-28,2.48071,0.783578,824.717
case39,22-23,0.629778,0.140603,824.766
case39,9-39,0.426269,0.16704,824.766
case39,14-15,0.549132,0.186674,824.766
case39,3-18,0.671903,0.234304,824.766
case39,7-8,1.20511,0.504507,824.766
case39,12-11,0.386658,0.129454,824.766
case39,12-13,0.473808,0.148369,824.766
