case,pen_pct,gfm_share_pct,h_virtual_s,cct_s,bracketed,n_dynamic_units,h_total_s,h_gfm_total_s,note
case9,88.8,100,0.5,0.226562,True,3,61.35,2.85,
case9,88.8,100,1,0.335938,True,3,64.2,5.7,
case9,88.8,100,2,0.503906,True,3,69.9,11.4,
case9,88.8,100,4,0.816406,True,3,81.3,22.8,
case9,88.8,100,8,1,False,3,104.1,45.6,still stable at t_max=1.0s
case9,88.8,100,16,1,False,3,149.7,91.2,still stable at t_max=1.0s
case39,68.5,100,0.5,0.0898438,True,10,132.345,25.345,
case39,68.5,100,1,0.136719,True,10,157.69,50.69,
case39,68.5,100,2,0.246094,True,10,208.38,101.38,
case39,68.5,100,4,0.207031,True,10,309.76,202.76,
case39,68.5,100,8,0.386719,True,10,512.52,405.52,
case39,68.5,100,16,0.367188,True,10,918.04,811.04,
case39,84,100,0.5,0.0625,True,10,87.365,31.065,
case39,84,100,1,0.136719,True,10,118.43,62.13,
case39,84,100,2,0.160156,True,10,180.56,124.26,
case39,84,100,4,0.230469,True,10,304.82,248.52,
case39,84,100,8,0.449219,True,10,553.34,497.04,
case39,84,100,16,0.441406,True,10,1050.38,994.08,
