case,attack,target_bus,magnitude_deg,objective_J,chi2_threshold,detected,max_norm_residual,state_error_deg
case14,none,10,0,62.2722,82.2921,False,2.66192,0
case14,random,-1,nan,1684.63,82.2921,True,24.248,nan
case14,fdia_linearised,10,2,67.7994,82.2921,False,2.97107,1.88889
case14,fdia_exact,10,2,62.2355,82.2921,False,2.66183,1.88959
case14,fdia_linearised,10,5,186.853,82.2921,True,8.72445,4.8852
case14,fdia_exact,10,5,62.1686,82.2921,False,2.66174,4.88737
case14,fdia_linearised,10,10,1871.29,82.2921,True,36.3565,9.85592
case14,fdia_exact,10,10,62.0251,82.2921,False,2.66175,9.88301
case14,fdia_linearised,10,20,26734,82.2921,True,144.141,18.5464
case14,fdia_exact,10,20,61.6376,82.2921,False,2.6622,19.8698
case30,none,16,0,126.36,150.882,False,3.12158,0
case30,random,-1,nan,1352.49,150.882,True,21.2564,nan
case30,fdia_linearised,16,2,126.36,150.882,False,3.18368,2.10101
case30,fdia_exact,16,2,126.322,150.882,False,3.12637,2.10357
case30,fdia_linearised,16,5,148.14,150.882,False,4.03898,5.10254
case30,fdia_exact,16,5,126.267,150.882,False,3.13439,5.11623
case30,fdia_linearised,16,10,524.579,150.882,True,15.1369,10.083
case30,fdia_exact,16,10,126.193,150.882,False,3.15002,10.138
case30,fdia_linearised,16,20,6849.43,150.882,True,63.4859,19.4866
case30,fdia_exact,16,20,126.296,150.882,False,3.18843,20.1818
case39,none,15,0,153.361,172.711,False,3.31566,0
case39,random,-1,nan,1631.82,172.711,True,24.8503,nan
case39,fdia_linearised,15,2,280.35,172.711,True,9.30101,2.00127
case39,fdia_exact,15,2,153.312,172.711,False,3.3164,1.99227
case39,fdia_linearised,15,5,4931.26,172.711,True,58.1412,5.05268
case39,fdia_exact,15,5,153.262,172.711,False,3.31968,4.99551
case39,fdia_linearised,15,10,71149,172.711,True,222.354,10.0828
case39,fdia_exact,15,10,153.28,172.711,False,3.32397,10.0008
case39,fdia_linearised,15,20,719043,172.711,True,676.597,16.6977
case39,fdia_exact,15,20,153.585,172.711,False,3.27905,20.0043
