case,pen_pct,target_bus,clean_J,attacked_J,delta_J,chi2_threshold,detected,state_error_deg
case14,0,10,62.2722,62.0251,-0.24718,82.2921,False,9.88301
case14,20.8,10,62.2722,62.0251,-0.24718,82.2921,False,9.88301
case14,50.6,10,62.2722,62.0251,-0.24718,82.2921,False,9.88301
case14,65.4,10,62.2722,62.0251,-0.24718,82.2921,False,9.88301
case14,65.4,10,62.2722,62.0251,-0.24718,82.2921,False,9.88301
case14,100,10,62.2722,62.0251,-0.24718,82.2921,False,9.88301
case39,0,15,153.361,153.28,-0.0803186,172.711,False,10.0008
case39,28.9,15,153.361,153.281,-0.0803365,172.711,False,10.0008
case39,40.6,15,153.361,153.281,-0.0803365,172.711,False,10.0008
case39,68.5,15,153.361,153.281,-0.0803365,172.711,False,10.0008
case39,84,15,153.361,153.28,-0.0803186,172.711,False,10.0008
case39,100,15,153.361,153.28,-0.0803186,172.711,False,10.0008
